"%1$s incl tax.","%1$s inkl. Steuern."
"* Required Fields","* Pflichtfelder"
"-- Select --","-- Auswählen --"
"Add New Option","Neue Option hinzufügen"
"Add Selection","Auswahl hinzufügen"
"As Low as","So niedrig wie"
"As low as","So niedrig wie"
"Bundle Items","Bündelartikel"
"Bundle Product","Gebündelte Artikel"
"Buy %1$s","Kaufen Sie %1$s"
"Buy %1$s for","Kaufen Sie %1$s für"
"Buy %1$s for %2$s","Kaufen Sie %1$s für %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kaufen Sie %1$s für %2$s (%3$s inkl. Steuern) jeder"
"Buy %1$s for %2$s each","Kaufen Sie %1$s für %2$s jeder"
"Buy %1$s with %2$s discount each","Kaufen Sie %1$s mit je %2$s Rabatt"
"Catalog Product View (Bundle)","Katalog Artikelansicht (Bündel)"
"Checkbox","Kontrollkästchen"
"Choose a selection...","Bitte treffen Sie eine Auswahl..."
"Click for price","Klicken Sie für Preis"
"Close","Schließen"
"Default","Voreinstellung"
"Default Qty","Menge (voreingestellt)"
"Default Title","Titel (voreingestellt)"
"Drop-down","Auswahlmenü"
"Dynamic","Dynamisch"
"Excl. Tax","Steuer weglassen"
"Excl. Tax:","Ohne Steuern:"
"Fixed","Festkosten"
"From","von"
"From:","von:"
"Gift Message","Geschenkmitteilung"
"Incl. Tax","Inkl. Steuern"
"Incl. Tax:","Inkl. Steuern:"
"Input Type","Eingabetyp"
"Is Required","Ist erforderlich"
"Message:","Nachricht:"
"Multiple Select","Mehrfachauswahl"
"N/A","Nicht verfügbar"
"No options of this product are available.","Für diesen Artikel sind keine Optionen verfügbar."
"None","Keine"
"Percent","Prozent"
"Percent Discount","Prozent Rabatt"
"Please Select Products to Add","Bitte wählen Sie hinzuzufügende Artikel"
"Please enter a number greater 0 in this field.","Bitte geben Sie eine Zahl größer als 0 in dieses Feld ein."
"Please enter search conditions to view products.","Bitte geben Sie Suchbedingungen ein, um Artikel zu sehen."
"Please select options for product.","Bitte wählen Sie Optionen für den Artikel."
"Please specify product option(s).","Bitte spezifizieren Sie Artikeloption(en)."
"Position","Reihenfolge"
"Price Range","Preisbereich"
"Price Type","Preisart"
"Price as configured","Preis wie konfiguriert"
"Qty:","Menge:"
"Radio Buttons","Auswahlschaltflächen"
"Required options are not selected.","Pflichtoptionen sind nicht ausgewählt."
"SKU","Artikelnummer (SKU)"
"Selected required options are not available.","Ausgewählte Pflichtoptionen sind nicht verfügbar."
"Separately","Einzeln"
"Ship Bundle Items","Versand von Bündelartikeln"
"Shipment","Versand"
"Store View Title","Ladenansicht Bezeichnung"
"There is no defined renderer for ""%s"" option type.","Es gibt keine bestimmten Angaben für den ""%s"" Option-Typ."
"This product is also part of bundle(s)","Dieser Artikel ist Teil eines Bündels."
"To","bis"
"To:","bis:"
"Together","Zusammen"
"Total incl. Tax: %1$s","Total inkl. Steuern: %1$s"
"Use Default Value","Standardwert verwenden"
"User Defined Qty","Benutzerdefinierte Menge"
"and","und"
"each","jeder"
"save","speichern"
