"%s was added to your shopping cart.","%s wurde in den Warenkorb gelegt."
"%s was updated in your shopping cart.","%s se ha actualizado a su carrito de compras."
"(Excl. Tax)","(Impuesto no incluido)"
"(Incl. Tax)","(Impuesto incluido)"
"* Required Fields","* Campos obligatorios"
"Add New Address","Añadir nueva dirección"
"Add New Condition","Agregar condición"
"Add coupon code for shopping cart","Gutscheinkode zum Warenkorb hinzufügen"
"Add gift messages to shopping cart","Geschenknachricht zum Warenkorb hinzufügen"
"Add product to shopping cart","Artikel in den Warenkorb legen"
"Add product(s) to shopping cart","Artikel in den Warenkorb legen"
"Add to Cart","In den Warenkorb"
"Add to Compare","Auf die Vergleichsliste"
"Add to Wishlist","Auf den Wunschzettel"
"Additional Product Info","Zusätzliche Artikelinfo"
"Address","Adresse"
"Address %s of %s","Adresse %s von %s"
"After Adding a Product Redirect to Shopping Cart","Nach Hinzufügen eines Artikels zum Warenkorb weiterleiten"
"Allow Guest Checkout","Bezahlvorgang als Gast ermöglichen"
"Already registered?","Bereits registriert?"
"An error occurred in the process of payment","Fehler im Bezahlvorgang"
"An error occurred while deleting this condition.","Ein Fehler ist beim Löschen der Bedingung aufgetreten."
"An error occurred while saving this condition.","Ein Fehler ist beim Speichern der Bedingung aufgetreten."
"Apply","Anwenden"
"Apply Coupon","Gutschein einlösen"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Sind Sie sicher, dass Sie diese Seite verlassen wollen? Sie werden den Bezahlvorgang erneut durcharbeiten müssen."
"Are you sure you would like to remove this item from the shopping cart?","Soll dieser Artikel wirklich aus Ihrem Warenkorb entfernt werden?"
"Back","Zurück"
"Back to Billing Information","Zurück zur Rechnungsadresse"
"Back to Select Addresses","Zurück zur Adressauswahl"
"Back to Shipping Information","Zurück zur Lieferadresse"
"Back to Shopping Cart","Zurück zum Warenkorb"
"Based on your selection, you may be interested in the following items:","Ausgehend von Ihrer Auswahl könnten Sie auch an den folgenden Artikeln interessiert sein:"
"Billing Address","Rechnungsadresse"
"Billing Information","Rechnungsadresse"
"Billing Information - %s","Rechnungsadresse - %s"
"Can not remove the item.","Artikel konnte nicht entfernt werden."
"Can not save item.","Artikel konnte nicht gespeichert werden."
"Cancel","Stornieren"
"Cancel Coupon","Gutschein stornieren"
"Cannot add item to the shopping cart.","Artikel konnte nicht in den Warenkorb gelegt werden."
"Cannot add the item to shopping cart","Artikel konnte nicht in den Warenkorb gelegt werden."
"Cannot add the item to shopping cart.","Artikel konnte nicht in den Warenkorb gelegt werden."
"Cannot apply the coupon code.","Der Gutschein konnte nicht eingelöst werden."
"Cannot configure product.","Artikel konnte nicht konfiguriert werden."
"Cannot open the overview page","Übersichtsseite konnte nicht geöffnet werden."
"Cannot process the item.","Artikel konnte nicht verarbeitet werden."
"Cannot remove the item.","Artikel konnte nicht entfernt werden."
"Cannot update shopping cart.","Warenkorb konnte nicht aktualisiert werden."
"Cannot update the item.","Artikel konnte nicht aktualisiert werden."
"Card Verification Number Visual Reference","Kartenprüfnummer"
"Cart","Warenkorb"
"Cart Product API","Warenkorb Artikel-API"
"Cart Subtotal:","Zwischensumme:"
"Change","Ändern"
"Change Billing Address","Rechnungsadresse ändern"
"Checkbox Text","Checkbox Text"
"Checkout","Zur Kasse"
"Checkout Conditions","Bezahlvorgang - Bestellbedingungen"
"Checkout Forms Extra","Bezahlvorgang - Formularbereich"
"Checkout Method","Wie möchten Sie zur Kasse gehen?"
"Checkout Options","Bezahlvorgang - Wahlmöglichkeiten"
"Checkout Progress Wrapper","Bezahlvorgang - Fortschrittanzeige"
"Checkout Section","Bezahlvorgang - Abschnitt"
"Checkout Terms and Conditions","AGB"
"Checkout as Guest","Als Gast zur Kasse gehen"
"Checkout as a Guest or Register","Als Gast zur Kasse oder registrieren"
"Checkout with Multiple Addresses","Zur Kasse mit mehreren Adressen"
"City","Stadt"
"Clear Shopping Cart","Warenkorb leeren"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target=\'_blank\'"">Klicken Sie hier</a>, um eine Kopie Ihrer Bestellbestätigung zu drucken."
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">Klicken Sie hier</a>, um den Einkauf fortzusetzen."
"Close","Schließen"
"Company","Firma"
"Condition Name","Bedingungsbezeichnung"
"Configurable Product Image","Abbildung für konfigurierbaren Artikel"
"Configure Cart Item","Artikel im Warenkorb konfigurieren"
"Confirm Password","Passwort bestätigen"
"Content","Inhalt"
"Content Height","Inhalthöhe"
"Content Height (css)","Inhalthöhe (css)"
"Continue","Weiter"
"Continue Shopping","Weiter einkaufen"
"Continue to Billing Information","Weiter zur Rechnungsadresse"
"Continue to Review Your Order","Weiter zur Bestellübersicht"
"Continue to Shipping Information","Weiter zur Lieferadresse"
"Country","Land"
"Coupon code ""%s"" is not valid.","Der Gutschein-Kode ""%s"" ist nicht mehr gültig."
"Coupon code ""%s"" was applied.","Der Gutschein-Kode ""%s"" wurde eingelöst."
"Coupon code was canceled.","Der Gutschein-Kode wurde storniert."
"Create Billing Address","Rechnungsadresse erstellen"
"Create Shipping Address","Versandadresse erstellen"
"Create an order from shopping cart","Geben Sie eine Bestellung aus Ihrem Warenkorb auf."
"Create shopping cart","Warenkorb anlegen"
"Customer Address is not valid.","Die Kundenadresse ist nicht gültig."
"Customer Information","Kundendaten"
"Customer's information","Kundendaten"
"Data saving problem","Problem beim Speichern der Daten"
"Default Billing","Rechnung (voreingestellt)"
"Default Shipping","Lieferschein (voreingestellt)"
"Delete Condition","Bedingung löschen"
"Details","Details"
"Disabled","Deaktiviert"
"Discount Codes","Rabattkodes"
"Display Cart Summary","Übersicht des Warenkorbes anzeigen"
"Display Shopping Cart Sidebar","Warenkorb in der Seitenspalte anzeigen"
"Display item quantities","Artikelmengen anzeigen"
"Display number of items in cart","Anzahl der Artikel im Warenkorb anzeigen."
"Display number of items in wishlist","Anzahl der Artikel auf dem Wunschzettel anzeigen."
"Easy access to your order history and status","Einfacher Zugriff auf Ihre bisherigen Bestellungen und deren Status"
"Edit","Bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Billing Address","Rechnungsadresse bearbeiten"
"Edit Condition","Bedingung bearbeiten"
"Edit Items","Artikel bearbeiten"
"Edit Shipping Address","Versandadresse bearbeiten"
"Edit Terms and Conditions","Allgemeine Geschäftsbedingungen (AGB) bearbeiten"
"Edit Your Cart","Warenkorb bearbeiten"
"Edit item","Artikel ändern"
"Edit item parameters","Artikelangaben ändern"
"Email Address","eMail-Adresse"
"Empty Cart","Warenkorb leeren"
"Empty Shopping Cart Content Before","Zuvor Warenkorbinhalt leeren"
"Enable Onepage Checkout","Einseitigen Bezahlvorgang aktivieren (Onepage Checkout)"
"Enable Terms and Conditions","Allgemeine Geschäftsbedingungen aktivieren"
"Enabled","Aktiviert"
"Enter a New Address","Neue Adresse eingeben"
"Enter your coupon code if you have one.","Wenn Sie einen Gutschein-Kode besitzen, geben Sie diesen bitte hier ein."
"Enter your destination to get a shipping estimate.","Geben Sie Ihren Zielort an, um die voraussichtlichen Versandkosten anzuzeigen."
"Estimate","Schätzung"
"Estimate Shipping and Tax","Geschätzte Versandkosten und Steuern"
"Excl. Tax","Steuer weglassen"
"Fast and easy check out","Schneller und einfacher Bestellvorgang"
"Fax","Fax"
"Forgot an Item?","Sie haben einen Artikel vergessen?"
"Forgot your password?","Sie haben Ihr Passwort vergessen?"
"Get a Quote","Kosten anzeigen"
"Get list of available payment methods","Verzeichnis verfügbarer Zahlarten"
"Get list of available shipping methods","Verzeichnis verfügbarer Versandarten"
"Get list of products in shopping cart","Auflistung der Artikel im Warenkorb"
"Get terms and conditions","Allgemeine Geschäftsbedingungen anzeigen"
"Get total prices for shopping cart","Gesamtpreis für Warenkorb anzeigen"
"Gift Message","Geschenknachricht"
"Grand Total:","Gesamtbetrag:"
"Grouped Product Image","Abbildung für Gruppenartikel"
"HTML","HTML"
"ID","ID"
"Incl. Tax","inkl. Steuern"
"Invalid checkout type.","Ungültiger Bezahlvorgang."
"Invalid data.","Ungültige Daten."
"Invalid email address ""%s""","Ungültige eMail-Adresse ""%s"""
"Invalid method: %s","Ungültige Methode: %s"
"Invalid shipping method.","Ungültige Versandart."
"Item not found or already ordered","Artikel nicht gefunden oder bereits bestellt."
"Item was removed successfully.","Artikel wurde entfernt."
"Item was updated successfully.","Artikel wurde aktualisiert."
"Items","Artikel"
"Items After","Artikel danach"
"Items Before","Artikel davor"
"Load customer quote error","Fehler beim Laden des Kundenangebots"
"Loading next step...","Nächster Schritt wird geladen ..."
"Login","Anmelden"
"Login/Registration Before","Bitte melden Sie sich an oder registrieren Sie sich"
"Manage Terms and Conditions","Allgemeine Geschäftsbedingungen verwalten"
"Maximum Display Recently Added Item(s)","Maximalanzeige kürzlich hinzugefügter Artikel"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximalmenge für Lieferung an mehrfache Adressen ist %s"
"Mini-cart promotion block","Promotionblock Mini-Warenkorb"
"Minimum order amount is %s","Die Mindestbestellsumme beträgt %s"
"Move","Verschieben"
"Move to Wishlist","Auf den Wunschzettel setzen"
"Move to wishlist","Auf den Wunschzettel setzen"
"Multishipping Checkout","Bezahlvorgang mit mehreren Versandadressen"
"Multishipping Checkout Address (Any) Form","Bezahlvorgang mit mehreren Versandadressen - Anschrift"
"Multishipping Checkout Billing Address Creation","Bezahlvorgang mit mehreren Versandadressen - Rechnungsanschrift erstellen"
"Multishipping Checkout Billing Address Edit Form","Bezahlvorgang mit mehreren Versandadressen - Rechnungsanschrift bearbeiten"
"Multishipping Checkout Billing Address Selection","Bezahlvorgang mit mehreren Versandadressen - Rechnungsanschrift auswählen"
"Multishipping Checkout Billing Information Step","Bezahlvorgang mit mehreren Versandadressen - Rechnungsanschrift anzeigen"
"Multishipping Checkout Customer Address Edit Form","Bezahlvorgang mit mehreren Versandadressen - Kundenanschrift bearbeiten"
"Multishipping Checkout Overview","Bezahlvorgang mit mehreren Versandadressen - Übersicht"
"Multishipping Checkout Shipping Address Creation","Bezahlvorgang mit mehreren Versandadressen - Versandanschrift erstellen"
"Multishipping Checkout Shipping Address Edit Form","Bezahlvorgang mit mehreren Versandadressen - Versandanschrift bearbeiten"
"Multishipping Checkout Shipping Address Selection","Bezahlvorgang mit mehreren Versandadressen - Versandanschrift auswählen"
"Multishipping Checkout Shipping Information Step","Bezahlvorgang mit mehreren Versandadressen - Versandanschrift anzeigen"
"Multishipping Checkout Success","Bezahlvorgang mit mehreren Versandadressen - Erfolgreich abgeschlossen"
"My Cart","Mein Warenkorb"
"My Cart (%s item)","Mein Warenkorb (%s Artikel)"
"My Cart (%s items)","Mein Warenkorb (%s Artikel)"
"My Cart Extra Actions","Mein Warenkorb - Extra-Aktionen"
"My Cart Link","Link zu meinem Warenkorb"
"New Address","Neue Adresse"
"New Condition","Neue Bedingung"
"New Terms and Conditions","Neue allgemeine Geschäftsbedingungen"
"No Payment Methods","Keine Zahlungsarten"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","Der Gesamtbetrag der Bestellung wird Ihnen noch einmal angezeigt, bevor Sie die Bestellung aufgeben."
"One Page Checkout","Bezahlvorgang auf einer Seite"
"One Page Checkout Failure","Bezahlvorgang - Fehler"
"One Page Checkout Overview","Bezahlvorgang - Übersicht"
"One Page Checkout Success","Bezahlvorgang - Erfolgreich abgeschlossen"
"One item of products do not have identifier or sku","Ein Posten der Artikel hat keine Kennung oder keine SKU-Nummer"
"One item of products is not belong any of quote item","Ein Posten der Artikel gehört nicht zu den angebotenen Artikeln"
"Order #","Bestellung Nr. "
"Order Review","Bestellübersicht"
"Order Success","Bestellung erfolgt"
"Order place error.","Die Bestellung konnte nicht aufgegeben werden."
"Other Items in Your Order","Andere Artikel in Ihrer Bestellung"
"Overview Items After","Überblick Artikel danach"
"Password","Passwort"
"Payment Failed Email Reciever","Fehlgeschlagene Zahlung - eMail-Empfänger"
"Payment Failed Email Sender","Fehlgeschlagene Zahlung - eMail-Absender"
"Payment Failed Emails","Fehlgeschlagene Zahlung - eMail"
"Payment Failed Template","Fehlgeschlagene Zahlung - eMail-Vorlage"
"Payment Information","Zahlungsinformation"
"Payment Method","Zahlungsart"
"Payment Methods After","Zahlungsarten nach"
"Payment Methods After Checkout Button","Zahlungsarten nach Schaltfläche Zur Kasse"
"Payment Methods Before","Zahlungsarten vor"
"Payment Methods Before Checkout Button","Zahlungsarten vor Schaltfläche Zur Kasse"
"Payment method information","Informationen zur Zahlungsart"
"Payment method is not defined","Die Zahlungsart ist nicht definiert"
"Payment methods in shopping cart","Zahlungsarten im Warenkorb"
"Payment profile # %s: ""%s"".","Zahlungsprofil Nr. %s: ""%s""."
"Place Order","Jetzt kaufen"
"Please agree to all Terms and Conditions before placing the order.","Bitte akzeptieren Sie unsere Geschäftsbedingungen, bevor Sie Ihre Bestellung abschließen."
"Please agree to all Terms and Conditions before placing the orders.","Bitte akzeptieren Sie unsere Geschäftsbedingungen, bevor Sie Ihre Bestellung abschließen."
"Please agree to all the terms and conditions before placing the order.","Bitte akzeptieren Sie unsere Geschäftsbedingungen, bevor Sie Ihre Bestellung abschließen."
"Please check billing address information.","Bitte prüfen Sie die Rechnungsanschrift."
"Please check shipping address information.","Bitte prüfen Sie die Versandanschrift."
"Please check shipping addresses information.","Bitte prüfen Sie die Versandanschriften."
"Please choose to register or to checkout as a guest","Bitte registrieren Sie sich, oder gehen Sie als Gast zur Kasse."
"Please log in below:","Bitte melden Sie sich hier an:"
"Please select region, state or province","Bitte wählen Sie Region, Provinz oder Bundesland."
"Please select shipping address for applicable items","Bitte wählen Sie die Lieferadresse für die entsprechenden Positionen."
"Please select shipping methods for all addresses","Bitte wählen Sie die Versandarten für alle Adressen."
"Please select valid payment method.","Bitte wählen Sie eine gültige Zahlungsart."
"Please specify payment method.","Bitte wählen Sie eine Zahlungsart."
"Please specify shipping method.","Bitte wählen Sie eine Versandart."
"Please specify shipping methods for all addresses.","Bitte wählen Sie die Versandarten für alle Adressen."
"Price","Preis"
"Proceed to Checkout","Zur Kasse gehen"
"Product","Artikel"
"Product Name","Artikelname"
"Products","Artikel"
"Qty","Menge"
"Qty:","Menge:"
"Quantity","Menge"
"Quantity was recalculated from %d to %d","Menge wurde von %d auf %d geändert"
"Quote Lifetime (days)","Gültigkeit der Preise im Warenkorb (in Tagen)"
"Quote item does not exist.","Der Artikel im Warenkorb existiert nicht mehr."
"Quote item is not found.","Der Artikel im Warenkorb wurde nicht gefunden."
"Recently added item(s)","Kürzlich hinzugefügte Artikel"
"Register","Registrieren"
"Register and save time!","Melden Sie sich an und sparen Sie Zeit!"
"Register to Create an Account","Registrieren Sie sich, um Ihr Benutzerkonto anzulegen."
"Register with us for future convenience:","Registrieren Sie sich für mehr Komfort bei Ihrem nächsten Besuch:"
"Remove Item","Artikel entfernen"
"Remove This Item","Diesen Artikel entfernen"
"Remove coupon code from shopping cart","Gutschein-Kode aus dem Warenkorb entfernen"
"Remove item","Artikel entfernen"
"Remove product from shopping cart","Artikel aus dem Warenkorb entfernen"
"Remove product(s) from shopping cart","Artikel aus dem Warenkorb entfernen"
"Require Customer To Be Logged In To Checkout","Kundenanmeldung für Bestellvorgang erforderlich"
"Retrieve information about shopping cart","Informationen über den Warenkorb werden abgefragt"
"Review Order","Bestellübersicht"
"Review Order - %s","Bestellübersicht - %s"
"SKU","Bestandseinheit (SKU)"
"Sales","Verkäufe"
"Save Condition","Bedingung speichern"
"Save in address book","Im Adressbuch speichern"
"See price before order confirmation.","Bitte achten Sie vor der Bestellbestätigung auf den Preis."
"Select Address","Adresse auswählen"
"Select Addresses","Adressen auswählen"
"Select Shipping Method","Versandart auswählen"
"Select State/Province...","Bundesland/Provinz auswählen…"
"Select a billing address from your address book or enter a new address.","Wählen Sie eine Rechnungsadresse aus Ihrem Adressbuch oder legen Sie eine neue Adresse an."
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Versandadresse aus Ihrem Adressbuch oder legen Sie eine neue Adresse ein."
"Send Payment Failed Email Copy Method","Sende Zahlungsfehler in Kopie (Methode)"
"Send Payment Failed Email Copy To","Sende Zahlungsfehler in Kopie an eMail"
"Send To","Senden an"
"Separate by "","".","Trennen durch "",""."
"Set customer for shopping cart","Kunden für Warenkorb festlegen"
"Set customer's addresses in shopping cart","Kundenanschriften für Warenkorb festlegen"
"Set payment method","Zahlungsart festlegen"
"Set shipping method","Versandart festlegen"
"Ship to Multiple Addresses","An mehrere Adressen versenden"
"Ship to different address","An andere Adresse versenden"
"Ship to this address","An diese Adresse versenden"
"Shipping Address","Versandadresse"
"Shipping Information","Versandinformation"
"Shipping Method","Versandart"
"Shipping Methods","Versandarten"
"Shipping To","Versenden an"
"Shipping information","Versandinformation"
"Shipping method has not been selected yet","Es wurde noch keine Versandart ausgewählt."
"Shipping methods in shopping cart","Versandarten im Warenkorb"
"Shipping selection is not applicable.","Ausgewählte Versandart ist nicht verfügbar."
"Shopping Cart","Warenkorb"
"Shopping Cart Form Before","Warenkorb-Formular davor"
"Shopping Cart Items After","Artikel im Warenkorb nach"
"Shopping Cart Items Before","Artikel im Warenkorb vor"
"Shopping Cart Sidebar","Warenkorb-Seitenspalte"
"Shopping Cart Sidebar Extra Actions","Warenkorb-Seitenspalte Zusatzaktionen"
"Shopping Cart is Empty","Der Warenkorb ist leer."
"Shopping cart ability to set coupon code","Möglichkeit, im Warenkorb einen Gutschein-Kode einzustellen"
"Show Content as","Zeige Inhalt als"
"Some of the requested products are not available in the desired quantity.","Einige der angeforderten Artikel sind in der gewünschten Stückzahl nicht verfügbar."
"Some of the requested products are unavailable.","Einige der angeforderten Artikel sind nicht verfügbar."
"Some products quantities were recalculated because of quantity increment mismatch","Einige Stückzahlen wurden angepasst, da die Verpackungseinheiten nicht gestimmt hatten."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Entschuldigen Sie, aber ein Bezahlvorgang als Gast ist nicht möglich. Bitte versuchen Sie es zu einem späteren Zeitpunkt erneut oder nehmen Sie direkt Kontakt mit uns auf."
"Sorry, no quotes are available for this order at this time.","Entschuldigung, für diese Bestellungen stehen keine Auswahloptionen zur Verfügung. Bitte nehmen Sie direkt mit uns Kontakt auf!"
"State/Province","Bundesland/Provinz"
"Status","Status"
"Store View","Ladenansicht"
"Street Address","Straße"
"Street Address %s","Straße %s"
"Submitting order information...","Bestellung wird übermittelt…"
"Subtotal","Pos. Zwischensumme"
"Subtotal must exceed minimum order amount","Bitte beachten Sie die Mindestbestellsumme."
"Telephone","Telefon"
"Terms and Conditions","Allgemeine Geschäftsbedingungen"
"Terms and Conditions Information","Informatiuon zu den Allgemeinen Geschäftsbedingungen"
"Terms and conditions","Allgemeine Geschäftsbedingungen"
"Text","Text"
"Thank you for your purchase!","Vielen Dank für Ihren Einkauf!"
"The condition has been deleted","Die Bedingung wurde gelöscht."
"The condition has been saved.","Die Bedingung wurde gespeichert."
"The onepage checkout is disabled.","Der Bezahlvorgang mit nur einer Seite ist deaktiviert."
"The product could not be found.","Der Artikel konnte nicht gefunden werden."
"The product does not exist.","Der Artikel existiert nicht."
"There are <a href=""%s"">%s items</a> in your cart.","Es sind <a href=""%s"">%s Artikel</a> im Warenkorb."
"There is <a href=""%s"">1 item</a> in your cart.","Es ist <a href=""%s"">ein Artikel</a> im Warenkorb."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Es ist bereits ein Kunde mit dieser eMail-Adresse registriert! Bitte loggen Sie sich mit dieser eMail-Adresse ein oder geben Sie eine andere eMail-Adresse ein, um ein Konto zu eröffnen."
"There was an error processing your order. Please contact us or try again later.","Bei der Bearbeitung Ihrer Bestellung ist ein Fehler aufgetreten. Bitte kontaktieren Sie uns oder versuchen Sie es später noch einmal."
"This condition no longer exists.","Diese Bedingung existiert nicht mehr."
"Total","Gesamtbetrag"
"Total for this address","Gesamtbetrag für diese Adresse"
"Unable to set Payment Method.","Zahlungsart konnte nicht eingestellt werden."
"Unit Price","Einzelpreis"
"Update","Aktualisieren"
"Update Cart","Warenkorb aktualisieren"
"Update Qty &amp; Addresses","Stückzahlen und Adressen aktualisieren"
"Update Shopping Cart","Warenkorb aktualisieren"
"Update Total","Gesamtsumme aktualisieren"
"Update product quantities in shopping cart","Artikelanzahl im Warenkorb aktualisieren"
