SKU;NOMBRE; PRECIO ;FABRICANTE;CATEGORIA-LINEA;SUB-CATEGORIA;DESCRIPCION CORTA;DESCRIPCION LARGA;META TAGS;FICHA TECNICA;IMPUESTO;NOMBRE IMÁGENES DEL PRODUCTO;;;RUTA DE LAS IMAGENES;;;INVENTARIO
001;ABLANDADOR DE CALLOS 60ml                               ; $ 2.160 ;LABORATORIOS GRACE            ;MANOS Y UÑAS;ESMALTES;ABLANDADOR DE CALLOS X 60 (GR)                    ;;ABLANDADOR;;IVA 19%;ABLANDADOR DE CALLOS 60ml                               ;ABLANDADOR DE CALLOS 60ml                               ;ABLANDADOR DE CALLOS 60ml                               ;;;;
002;ACEITE DE AGUACATE  MASAJES REDUCTORES 250ml                                ; $ 6.720 ;NATURAL SANT                  ;CORPORAL;ACEITES;ACEITE DE AGUACATE X 250 (NZ)                     ;Suaviza, coadyuda para reducir estrías y celulitis especial para masajes reductores. En la piel, el aceite le aguacate ayuda a sanar las heridas con rapidez y a mejorarla apariencia de la piel, manteniéndola humectada. *El aceite de aguacate también sirve para humectar el cabello. *Ademas el aceite le aguacate es una excelente fuente le antioxidantes.;ACEITES;;IVA 19%;ACEITE DE AGUACATE  MASAJES REDUCTORES 250ml                                ;ACEITE DE AGUACATE  MASAJES REDUCTORES 250ml                                ;ACEITE DE AGUACATE  MASAJES REDUCTORES 250ml                                ;;;;
003;ACEITE DE ALMENDRAS REDUCE CELULITIS 250ml                               ; $ 6.720 ;NATURAL SANT                  ;CORPORAL;ACEITES;ACEITE DE ALMENDRAS X 250 (NZ)                    ;;ACEITES;;IVA 19%;ACEITE DE ALMENDRAS REDUCE CELULITIS 250ml                               ;ACEITE DE ALMENDRAS REDUCE CELULITIS 250ml                               ;ACEITE DE ALMENDRAS REDUCE CELULITIS 250ml                               ;;;;
004;ACEITE DE ARGÁN  HIDRATA Y COAYUDA  250ml                               ; $ 6.720 ;NATURAL SANT                  ;CORPORAL;ACEITES;ACEITE DE ARGAN X 250 (NZ)                        ;;ACEITES;;IVA 19%;ACEITE DE ARGÁN  HIDRATA Y COAYUDA  250ml                               ;ACEITE DE ARGÁN  HIDRATA Y COAYUDA  250ml                               ;ACEITE DE ARGÁN  HIDRATA Y COAYUDA  250ml                               ;;;;
005;ACEITE DE ARGÁN 250ml              ; $ 7.475 ;BELLALIN                      ;CORPORAL;ACEITES;ACEITE DE ARGAN X 250 BELLALIN(JJ)                ;;ACEITES;;IVA 19%;ACEITE DE ARGÁN 250ml              ;ACEITE DE ARGÁN 250ml              ;ACEITE DE ARGÁN 250ml              ;;;;
006;ACEITE DE ARGÁN CONCENTRADO 60ml              ; $ 16.500 ;BELLALIN                      ;CAPILAR;ACEITES;ACEITE DE ARGAN CONCENTRADO X 60 (JJ)             ;;ACEITES;;IVA 19%;ACEITE DE ARGÁN CONCENTRADO 60ml              ;ACEITE DE ARGÁN CONCENTRADO 60ml              ;ACEITE DE ARGÁN CONCENTRADO 60ml              ;;;;
007;ACEITE DE CACAO VITAMINA E 250ml                          ; $ 6.720 ;NATURAL SANT                  ;CORPORAL;ACEITES;ACEITE DE CACAO X 250 (NZ)                        ;;ACEITES;;IVA 19%;ACEITE DE CACAO VITAMINA E 250ml                          ;ACEITE DE CACAO VITAMINA E 250ml                          ;ACEITE DE CACAO VITAMINA E 250ml                          ;;;;
008;ACEITE DE CAFE Y JENGIBRECELULITIS Y ESTRÍAS 250ml                  ; $ 6.720 ;NATURAL SANT                  ;CORPORAL;ACEITES;ACEITE DE CAFE Y JENGIBRE X 250 (NZ)              ;;ACEITES;;IVA 19%;ACEITE DE CAFE Y JENGIBRECELULITIS Y ESTRÍAS 250ml                  ;ACEITE DE CAFE Y JENGIBRECELULITIS Y ESTRÍAS 250ml                  ;ACEITE DE CAFE Y JENGIBRECELULITIS Y ESTRÍAS 250ml                  ;;;;
009;ACEITE DE CALÉNDULA REDUCE ESTRÍAS 250ml                               ; $ 6.720 ;NATURAL SANT                  ;CORPORAL;ACEITES;ACEITE DE CALENDULA X 250 (NZ)                    ;;ACEITES;;IVA 19%;ACEITE DE CALÉNDULA REDUCE ESTRÍAS 250ml                               ;ACEITE DE CALÉNDULA REDUCE ESTRÍAS 250ml                               ;ACEITE DE CALÉNDULA REDUCE ESTRÍAS 250ml                               ;;;;
010;ACEITE DE COCO 250ml; $ 7.475 ;BELLALIN                      ;CORPORAL;ACEITES;ACEITE DE COCO X 240 (JJ)                         ;;ACEITES;;IVA 19%;ACEITE DE COCO 250ml;ACEITE DE COCO 250ml;ACEITE DE COCO 250ml;;;;
